,P1,P2,P1A,P1B,P1C,P1D,P6,P11A,P11B,P11C,P11F,P12,P16,P17,P20,P23,P27A,P27B,P27C,P27D,P27E,P27F,P27G,P37,P43,P46A,P46B,P46C,P46D,P46E,P46F,P46G,P46H,P46I,P47A,P47B,P47C,P47D,P47E,P47F,P47G,P47H,P47I,P63A,P63B,P68,P131A,P131B,P131C,P148,P149,P152,P160
1675,19,1,,,,,2,2.0,5.0,,,2,2,2,1,3,,,,,,,,1.0,3,10,,,,,,,,,7,,,,,,,,,2,,3,4,5.0,,1,3,6,Amaya Pampa
1683,16,1,,,,,1,2.0,,,,1,2,1,1,2,,,,,,,,1.0,7,1,8.0,,,,,,,,1,7.0,,,,,,,,2,,1,9,,,1,2,6,Cochabamba
1684,24,1,,,,,1,2.0,3.0,4.0,,1,1,2,1,1,1.0,2.0,7.0,,10.0,,,1.0,7,1,8.0,10.0,,,,,,,1,7.0,,,,,,,,2,,2,9,,,1,6,6,Cochabamba
1686,19,1,,,,,1,2.0,4.0,5.0,,1,2,1,1,2,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,4,7.0,12.0,,,,,,,2,,2,9,,,1,6,6,Cochabamba
1687,20,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,1,1.0,2.0,4.0,,5.0,7.0,8.0,1.0,7,7,8.0,10.0,,11.0,,,,,1,3.0,5.0,7.0,,,,,,2,,2,5,6.0,,1,6,6,Cochabamba
1688,23,1,,,,,1,4.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,10.0,,,,,1,9.0,12.0,,,,,,,2,,2,9,,,2,6,6,Cochabamba
1691,18,1,,,,,1,3.0,2.0,,,2,2,2,1,3,,,,,,,,1.0,7,1,2.0,9.0,,,,,,,1,7.0,,,,,,,,1,1.0,1,4,2.0,6.0,1,3,6,Cochabamba
1692,21,1,,,,,2,4.0,,,,1,2,2,1,3,,,,,,,,1.0,2,1,2.0,9.0,,,,,,,7,8.0,,,,,,,,1,1.0,2,6,1.0,4.0,2,6,6,Cochabamba
1695,20,1,,,,,1,1.0,4.0,,,1,1,2,1,1,1.0,2.0,4.0,,,,,1.0,7,1,4.0,7.0,,10.0,,,,,5,7.0,8.0,,,,,,,1,1.0,2,6,5.0,7.0,1,6,6,Cochabamba
1698,17,1,,,,,1,2.0,3.0,5.0,,1,2,2,2,3,,,,,,,,1.0,7,1,7.0,8.0,,10.0,,,,,5,7.0,,,,,,,,1,2.0,1,6,7.0,,1,1,6,Cochabamba
1703,25,1,,,,,1,1.0,,,,1,1,2,1,1,1.0,4.0,7.0,,,,,1.0,7,1,9.0,10.0,,,,,,,5,7.0,,,,,,,,2,,2,5,4.0,1.0,1,6,6,Cochabamba
1706,18,1,,,,,1,1.0,3.0,5.0,,1,1,2,1,1,7.0,8.0,9.0,,,,,1.0,7,9,10.0,,,,,,,,5,7.0,9.0,,,,,,,2,,1,5,4.0,1.0,1,2,6,Cochabamba
1708,19,1,,,,,1,1.0,4.0,,,1,1,1,1,1,1.0,4.0,,,,,,1.0,7,7,8.0,9.0,,,,,,,5,7.0,,,,,,,,2,,1,4,5.0,1.0,2,6,6,Cochabamba
1710,19,1,,,,,1,1.0,4.0,5.0,,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,7.0,,,,,,,7,,,,,,,,,1,2.0,1,5,4.0,3.0,2,6,6,Cochabamba
1711,19,1,,,,,1,1.0,3.0,4.0,,1,1,2,2,1,1.0,7.0,10.0,,,,,1.0,7,4,7.0,10.0,,,,,,,1,2.0,7.0,,,,,,,1,1.0,2,6,5.0,1.0,2,6,6,Cochabamba
1725,24,1,,,,,1,1.0,3.0,5.0,,1,1,2,1,1,1.0,8.0,10.0,,,,,1.0,7,4,6.0,7.0,,,,,,,5,,,,,,,,,2,,2,1,5.0,6.0,1,6,6,Cochabamba
1726,19,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,9.0,,,,,,,5,,,,,,,,,2,,2,1,5.0,6.0,2,6,6,Cochabamba
1729,16,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,1,1.0,2.0,6.0,,,,,1.0,7,1,2.0,8.0,,,,,,,1,7.0,,,,,,,,2,,1,1,5.0,6.0,2,2,6,Cochabamba
1731,14,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,7,1,,,,,,,,,1,5.0,7.0,9.0,,,,,,2,,1,5,6.0,,1,2,6,Cochabamba
1732,22,1,,,,,1,1.0,2.0,4.0,,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,7,9.0,,,,,,,,1,1.0,2,5,6.0,,2,6,6,Cochabamba
1738,24,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,9.0,,10.0,,,,,1,,,,,,,,,2,,2,5,,,1,2,6,Cochabamba
1740,22,1,,,,,1,1.0,2.0,5.0,,1,1,2,1,1,2.0,4.0,9.0,,,,,1.0,7,1,9.0,,,,,,,,1,5.0,9.0,12.0,,,,,,2,,2,3,4.0,6.0,1,6,6,Cochabamba
1742,18,1,,,,,1,2.0,4.0,5.0,,1,1,2,1,1,1.0,2.0,9.0,,10.0,,,1.0,7,1,6.0,9.0,,,,,,,1,5.0,7.0,9.0,12.0,,,,,2,,2,2,1.0,3.0,2,3,6,Cochabamba
1754,17,1,,,,,2,2.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,1,5.0,9.0,,,,,,,2,,1,5,1.0,2.0,2,2,6,Punata
1758,20,1,,,,,1,4.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,6.0,,9.0,10.0,,,,1,7.0,9.0,,,,,,,1,2.0,1,1,6.0,5.0,2,2,6,Punata
1761,17,1,,,,,1,2.0,4.0,5.0,,1,2,1,1,3,,,,,,,,1.0,7,1,2.0,9.0,,10.0,,,,,5,9.0,12.0,,,,,,,1,2.0,1,1,5.0,6.0,1,2,6,Punata
1762,18,1,,,,,1,2.0,4.0,5.0,,1,2,1,1,2,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,5.0,7.0,9.0,,,,,,1,2.0,2,6,1.0,5.0,1,3,6,Punata
1763,19,1,,,,,1,1.0,3.0,4.0,,1,2,2,1,2,,,,,,,,1.0,7,8,9.0,10.0,,,,,,,2,7.0,,,,,,,,2,,2,1,5.0,6.0,1,6,6,Punata
1765,14,1,,,,,1,3.0,4.0,,,1,2,2,1,1,9.0,10.0,,,,,,1.0,7,9,10.0,,,,,,,,7,,,,,,,,,2,,1,5,6.0,3.0,1,2,6,Punata
1766,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,9,10.0,,,,,,,,7,,,,,,,,,2,,1,5,6.0,1.0,2,2,6,Punata
1770,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,1,3.0,7.0,,,,,,,2,,1,1,,,1,3,6,Shinahota
1777,15,1,,,,,1,1.0,2.0,5.0,,1,2,2,1,3,,,,,,,,1.0,4,1,8.0,10.0,,,,,,,1,9.0,,,,,,,,2,,1,1,2.0,,1,2,6,Sauce Rancho
1780,15,1,,,,,1,1.0,2.0,4.0,5.0,1,2,2,1,3,,,,,,,,1.0,3,1,4.0,8.0,,10.0,,,,,1,7.0,9.0,,,,,,,2,,1,5,,,2,2,6,Sauce Rancho
1782,20,1,,,,,2,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,4.0,,6.0,7.0,10.0,,,1,5.0,9.0,,,,,,,1,1.0,2,1,5.0,,1,6,6,Sauce Rancho
1783,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,10,,,,,,,,,13,,,,,UNIVERSIDAD,,,,2,,1,6,,,2,2,6,Dorado Grande
1784,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,2,7.0,,,,,,,,2,,1,6,,,1,2,6,Dorado Grande
1785,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,10,12.0,,WHATSAP,,,,,,7,13.0,,,,FACEBOOK,,,,2,,3,6,,,2,3,6,Dorado Grande
1787,20,1,,,,,1,1.0,2.0,3.0,4.0,1,2,2,1,2,,,,,,,,1.0,7,1,7.0,9.0,,10.0,,,,,1,8.0,,,,,,,,2,,2,4,3.0,,2,3,6,Oruro
1789,21,1,,,,,1,2.0,5.0,,,2,2,2,2,2,,,,,,,,1.0,3,1,2.0,9.0,,,,,,,1,,,,,,,,,2,,2,6,,,2,4,6,Oruro
1790,16,1,,,,,1,1.0,2.0,4.0,5.0,1,1,1,1,1,7.0,9.0,10.0,,,,,1.0,7,1,7.0,8.0,,,,,,,4,5.0,7.0,9.0,,,,,,1,1.0,1,6,7.0,,1,2,6,Oruro
1794,19,1,,,,,1,1.0,,,,1,1,2,1,2,,,,,,,,1.0,3,9,,,,,,,,,9,,,,,,,,,2,,3,1,,,2,6,6,Oruro
1797,25,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,6,4,,,,,,,,,5,,,,,,,,,2,,2,1,,,2,6,6,Oruro
1800,17,1,,,,,1,3.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,7,8,10.0,,,,,,,,9,,,,,,,,,2,,1,5,6.0,,2,2,6,Oruro
1806,18,1,,,,,1,5.0,,,,1,2,2,1,2,,,,,,,,1.0,7,4,8.0,,,,,,,,9,,,,,,,,,2,,1,1,,,2,3,6,Oruro
1807,20,1,,,,,1,2.0,4.0,,,1,2,2,2,2,,,,,,,,1.0,7,1,2.0,4.0,,,,,,,3,8.0,,,,,,,,1,9.0,1,6,7.0,,2,6,6,Oruro
1809,17,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,3,,,,,,,,1.0,4,1,,,,,,,,,7,,,,,,,,,2,,3,5,,,1,2,6,Oruro
1811,17,1,,,,,1,2.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,7.0,,,,,,,5,7.0,9.0,,,,,,,1,1.0,3,7,8.0,,2,2,6,Oruro
1814,24,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,2.0,3,1,2.0,,,,,,,,1,,,,,,,,,2,,3,6,,,1,6,6,Oruro
1820,17,1,,,,,1,2.0,5.0,,,1,1,2,2,3,,,,,,,,1.0,7,1,2.0,,,,,,,,7,,,,,,,,,2,,1,9,,,2,2,6,Oruro
1821,18,1,,,,,1,2.0,4.0,5.0,,1,2,2,2,3,,,,,,,,1.0,7,1,4.0,7.0,,,,,,,5,7.0,,,,,,,,2,,1,9,,,2,3,6,Oruro
1824,23,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,4.0,,,,,,,5,7.0,,,,,,,,2,,1,5,,,1,6,6,Oruro
1826,18,1,,,,,1,3.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,7,1,4.0,8.0,,9.0,10.0,,,,7,9.0,,,,,,,,2,,2,1,,,1,3,6,Oruro
1827,14,1,,,,,1,3.0,,,,1,1,2,1,1,10.0,,,,,,,1.0,2,2,5.0,,,,,,,,2,3.0,9.0,,,,,,,2,,3,1,,,1,2,6,Oruro
1830,19,1,,,,,1,5.0,,,,1,2,2,2,3,,,,,,,,1.0,7,1,5.0,,,,,,,,5,,,,,,,,,1,9.0,2,1,,,1,3,6,Oruro
1843,19,1,,,,,1,2.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,,,,,,7,9.0,,,,,,,,9,,2,2,,,1,6,6,Oruro
1844,15,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,4,10,,,,,,,,,13,,,,,NSNR,,,,2,,1,2,,,2,2,6,Oruro
1845,18,1,,,,,1,5.0,,,,1,1,2,1,1,5.0,,,,,,,1.0,7,1,4.0,5.0,,,,,,,5,9.0,12.0,,,,,,,2,,1,4,3.0,,2,3,6,Oruro
1846,15,1,,,,,2,2.0,4.0,,,1,2,2,1,3,,,,,,,,1.0,5,1,7.0,10.0,,,,,,,7,,,,,,,,,2,,1,9,,,1,2,6,Oruro
1869,15,1,,,,,2,4.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,7,,,,,,,,,2,,3,9,,,2,2,6,Challapata
1870,14,1,,,,,2,3.0,4.0,,,1,2,2,1,3,,,,,,,,,3,1,2.0,8.0,,,,,,,1,7.0,,,,,,,,2,,3,9,,,1,2,6,Challapata
1871,19,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,8.0,,,,,,,1,,,,,,,,,1,2.0,2,6,1.0,3.0,1,6,6,Challapata
1879,32,1,,,,,1,1.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,6.0,9.0,,10.0,,,,,1,,,,,,,,,2,,2,1,,,1,3,6,Santiago de Huari
1883,22,1,,,,,1,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,,,,,,,,1,5.0,6.0,7.0,,,,,,1,1.0,2,4,3.0,,1,3,6,Santiago de Huari
1884,15,1,,,,,2,,,,,2,2,2,1,3,,,,,,,,1.0,2,1,,,,,,,,,7,,,,,,,,,2,,1,2,3.0,,2,2,6,Santiago de Huari
1885,14,1,,,,,2,1.0,,,,1,2,2,1,3,,,,,,,,2.0,1,4,,,,,,,,,5,,,,,,,,,2,,1,1,2.0,,1,2,6,Santiago de Huari
1887,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,2.0,7.0,,,,,,,1,,,,,,,,,9,,1,1,6.0,3.0,2,2,6,Cruce Culta
1888,18,1,,,,,2,1.0,2.0,3.0,4.0,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,9.0,,10.0,11.0,,,,1,5.0,9.0,,,,,,,9,,1,1,,,1,2,6,Cruce Culta
1889,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,,,,,,,,1,3.0,11.0,,,,,,,9,,1,1,5.0,6.0,1,3,6,Cruce Culta
1890,24,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,2,7.0,10.0,,,,,,,7,,,,,,,,,9,,2,6,5.0,1.0,2,6,6,Cruce Culta
1897,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,7.0,8.0,,10.0,11.0,,,,1,9.0,,,,,,,,9,,1,1,,,1,2,6,Lagunillas
1898,17,1,,,,,2,2.0,4.0,5.0,,1,2,2,1,3,,,,,,,,1.0,7,1,10.0,11.0,,,,,,,1,,,,,,,,,9,,1,4,,,2,2,6,Lagunillas
1899,17,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,3,,,,,,,,1.0,3,10,,,,,,,,,2,7.0,8.0,9.0,,,,,,1,2.0,1,6,4.0,5.0,1,2,6,Lagunillas
1901,17,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,9,10.0,,,,,,,,7,8.0,12.0,,,,,,,1,2.0,3,1,,,2,2,6,Lagunillas
1910,16,1,,,,,2,2.0,4.0,5.0,,1,2,2,1,3,,,,,,,,1.0,5,1,2.0,10.0,,11.0,,,,,1,2.0,10.0,11.0,,,,,,9,,1,1,,,1,2,6,Lagunillas
1911,14,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,,,,,,,,9,,,,,,,,,9,,1,1,2.0,3.0,2,2,6,Lagunillas
1912,22,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,3,1,2.0,4.0,,,,,,,5,7.0,9.0,12.0,,,,,,1,2.0,2,3,2.0,1.0,2,6,6,Lagunillas
1913,24,1,,,,,1,4.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,7.0,9.0,,,,5,6.0,9.0,,,,,,,1,1.0,2,5,,,1,6,6,Lagunillas
1922,18,1,,,,,1,2.0,4.0,,,1,1,2,1,1,1.0,9.0,10.0,,,,,1.0,7,1,9.0,10.0,,,,,,,7,,,,,,,,,2,,3,9,,,2,3,6,Tarija
1923,15,1,,,,,1,3.0,,,,1,2,2,1,3,,,,,,,,1.0,7,8,10.0,,,,,,,,13,,,,,,,,,2,,1,9,,,1,2,6,Tarija
1928,24,1,,,,,1,1.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,9,,,,,,,,,2,,2,1,6.0,2.0,2,6,6,Tarija
1929,24,1,,,,,1,5.0,,,,1,1,1,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,9,,,,,,,,,2,,2,1,2.0,7.0,1,6,6,Tarija
1932,14,1,,,,,1,3.0,,,,1,2,2,1,3,,,,,,,,1.0,7,10,,,,,,,,,13,,,,,,,,,2,,1,9,,,2,2,6,Tarija
1933,17,1,,,,,1,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,7.0,,,,,,,,9,,,,,,,,,2,,1,9,,,1,2,6,Tarija
1938,25,1,,,,,1,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,1,,,,,,,,,2,,2,9,,,1,6,6,Tarija
1942,14,1,,,,,2,2.0,3.0,4.0,5.0,1,1,2,1,3,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,7,,,,,,,,,2,,1,9,,,1,2,6,Tarija
1947,20,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,2,,,,,,,,1.0,7,4,7.0,8.0,,9.0,10.0,11.0,,,5,9.0,12.0,,,,,,,1,2.0,2,6,,,1,6,6,Tarija
1948,14,1,,,,,1,2.0,3.0,4.0,,1,2,2,1,3,,,,,,,,1.0,7,1,7.0,8.0,,9.0,10.0,,,,13,,,,,NO HAY CLASES,,,,2,,1,5,1.0,6.0,1,2,6,Tarija
1949,14,1,,,,,1,3.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,4,1,9.0,10.0,,,,,,,5,7.0,,,,,,,,2,,3,9,,,2,2,6,Tarija
1950,19,1,,,,,1,1.0,4.0,,,1,1,2,1,3,,,,,,,,1.0,7,2,9.0,10.0,,,,,,,7,8.0,9.0,,,,,,,2,,3,6,,,2,6,6,Tarija
1953,20,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,2,,,,,,,,1.0,7,1,7.0,9.0,,10.0,,,,,5,7.0,8.0,9.0,12.0,,,,,1,1.0,2,6,1.0,5.0,1,6,6,Tarija
1956,17,1,,,,,1,3.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,3.0,,4.0,6.0,7.0,9.0,10.0,1,5.0,8.0,11.0,,,,,,1,2.0,2,1,2.0,,1,2,6,Tarija
1962,17,1,,,,,1,,,,,1,1,2,1,1,8.0,10.0,11.0,,,,,1.0,7,4,9.0,10.0,,,,,,,7,,,,,,,,,1,2.0,1,1,,,2,2,6,Tarija
1971,20,1,,,,,1,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,4,,,,,,,,,5,,,,,,,,,2,,2,6,,,2,6,6,Tarija
1976,22,1,,,,,1,1.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,7,1,,,,,,,,,7,,,,,,,,,2,,2,1,2.0,,2,6,6,Tarija
1979,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,7,,,,,,,,,2,,3,1,2.0,3.0,2,2,6,Tarija
1981,15,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,7,1,,,,,,,,,7,,,,,,,,,2,,3,1,2.0,3.0,1,2,6,Tarija
1983,17,1,,,,,1,4.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,9,,,,,,,,,2,,1,3,1.0,2.0,2,2,6,Tarija
1984,23,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,,,,,,,,,1,2.0,2,1,4.0,2.0,2,6,6,Tarija
1985,23,1,,,,,1,4.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,,,,,,,,,1,9.0,,,,,,,,1,1.0,2,1,4.0,3.0,1,6,6,Tarija
1986,29,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,1,5.0,7.0,10.0,,,,,1.0,7,12,,,,,,,,,5,,,,,,,,,2,,2,1,6.0,5.0,2,6,6,Tarija
1991,23,1,,,,,1,4.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,5,9.0,,,,,,,,1,1.0,2,1,2.0,2.0,1,6,6,Tarija
1995,19,1,,,,,1,4.0,5.0,,,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,7.0,,,,,1,9.0,,,,,,,,1,1.0,2,1,3.0,5.0,1,6,6,Tarija
1996,18,1,,,,,1,4.0,5.0,,,1,1,1,1,2,,,,,,,,1.0,7,1,2.0,3.0,,,,,,,1,2.0,,,,,,,,2,,2,1,2.0,3.0,1,3,6,Tarija
1997,18,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,5,1,2.0,,,,,,,,9,,,,,,,,,2,,2,1,4.0,6.0,1,3,6,Tarija
2003,18,1,,,,,2,3.0,4.0,,,1,1,2,1,3,,,,,,,,1.0,7,10,11.0,,,,,,,,9,,,,,,,,,2,,1,1,,,2,2,6,Yacuiba
2008,23,1,,,,,1,4.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,2,10.0,,,,,,,,7,9.0,,,,,,,,2,,1,6,,,2,6,6,Yacuiba
2009,18,1,,,,,1,4.0,,,,1,1,2,1,1,10.0,,,,,,,1.0,7,5,7.0,10.0,,11.0,,,,,9,,,,,,,,,1,1.0,2,1,2.0,,1,3,6,Yacuiba
2015,18,1,,,,,1,5.0,,,,1,1,1,1,2,,,,,,,,1.0,7,1,2.0,7.0,,10.0,,,,,1,7.0,,,,,,,,2,,2,9,,,1,3,6,Yacuiba
2019,19,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,7,2,10.0,,,,,,,,9,,,,,,,,,2,,2,9,,,2,6,6,Yacuiba
2020,16,1,,,,,1,4.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,9,10.0,,,,,,,,9,,,,,,,,,2,,1,9,,,2,2,6,Yacuiba
2021,25,1,,,,,1,5.0,,,,1,1,1,1,2,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,9,,,,,,,,,2,,2,6,2.0,1.0,2,6,6,Yacuiba
2026,15,1,,,,,1,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,4,1,10.0,,,,,,,,13,,,,,MUSICA,,,,2,,3,1,2.0,4.0,2,2,6,Yacuiba
2031,22,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,9,,,,,,,,,1,1.0,2,1,2.0,3.0,1,6,6,Yacuiba
2036,23,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,11.0,,,,,1,7.0,,,,,,,,1,1.0,2,1,6.0,5.0,1,6,6,Yacuiba
2038,16,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,9,,,,,,,,,2,,3,1,2.0,5.0,1,2,6,Yacuiba
2041,35,1,,,,,1,1.0,2.0,4.0,,1,1,2,2,2,,,,,,,,2.0,7,1,7.0,,,,,,,,13,,,,,NSNR,,,,2,,3,1,5.0,6.0,1,6,6,Yacuiba
2044,19,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,5.0,7.0,,,,,,,4,5.0,,,,,,,,2,,2,1,5.0,6.0,1,6,6,Yacuiba
2047,16,1,,,,,1,1.0,5.0,,,1,1,1,1,3,,,,,,,,1.0,5,1,8.0,,,,,,,,5,9.0,,,,,,,,2,,1,5,6.0,1.0,1,2,6,Yacuiba
2048,22,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,2,3,,,,,,,,1.0,7,2,7.0,10.0,,,,,,,5,,,,,,,,,1,1.0,2,6,5.0,,2,6,6,Yacuiba
2051,17,1,,,,,2,3.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,2,7.0,9.0,,10.0,,,,,3,7.0,,,,,,,,2,,1,1,,,1,2,6,Carapari
2052,20,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,5.0,10.0,11.0,,,1,2.0,9.0,,,,,,,1,1.0,2,9,,,1,6,6,Carapari
2059,18,1,,,,,2,4.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,,,,,,,,7,,,,,,,,,2,,3,1,,,2,3,6,Carapari
2061,17,1,,,,,1,2.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,4,2,9.0,10.0,,11.0,,,,,1,5.0,9.0,12.0,,,,,,1,2.0,1,6,,,2,2,6,El Común
2066,17,1,,,,,2,4.0,5.0,,,1,1,1,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,7,9.0,,,,,,,,2,,3,9,,,2,2,6,El Común
2090,18,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,9,,,,,,,,,2,,2,5,6.0,1.0,2,3,6,El Común
2091,19,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,9.0,,10.0,,,,,5,,,,,,,,,2,,2,1,2.0,3.0,1,3,6,El Común
2099,17,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,9.0,,,,,,,1,5.0,7.0,,,,,,,2,,1,1,,,2,2,6,Trinidad
2102,16,1,,,,,2,3.0,4.0,5.0,,1,1,2,2,3,,,,,,,,1.0,7,1,2.0,,,,,,,,7,,,,,,,,,2,,1,2,3.0,1.0,2,2,6,Trinidad
2104,18,1,,,,,1,1.0,2.0,3.0,,1,1,2,1,2,,,,,,,,1.0,7,1,8.0,9.0,,,,,,,1,4.0,5.0,7.0,,,,,,1,1.0,2,1,,,1,3,6,Trinidad
2107,25,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,7,1,2.0,8.0,,,,,,,5,7.0,,,,,,,,2,,2,1,2.0,3.0,1,6,6,Trinidad
2108,23,1,,,,,1,1.0,,,,1,1,2,2,3,,,,,,,,1.0,2,2,10.0,,,,,,,,1,9.0,,,,,,,,2,,2,1,2.0,3.0,1,4,6,Trinidad
2109,24,1,,,,,1,1.0,5.0,,,1,2,2,2,3,,,,,,,,1.0,5,1,2.0,9.0,,,,,,,5,6.0,,,,,,,,2,,2,3,3.0,,1,6,6,Trinidad
2115,24,1,,,,,1,4.0,5.0,,,1,1,2,2,3,,,,,,,,1.0,7,1,2.0,4.0,,,,,,,5,9.0,,,,,,,,2,,2,3,2.0,2.0,2,6,6,Trinidad
2116,22,1,,,,,1,5.0,,,,1,1,2,2,3,,,,,,,,1.0,6,1,2.0,10.0,,,,,,,1,3.0,9.0,,,,,,,1,2.0,2,2,3.0,1.0,1,6,6,Trinidad
2119,19,1,,,,,1,5.0,,,,1,1,2,2,3,,,,,,,,1.0,7,1,2.0,11.0,,,,,,,1,5.0,,,,,,,,1,2.0,2,3,3.0,3.0,2,6,6,Trinidad
2121,16,1,,,,,2,5.0,,,,1,1,2,2,3,,,,,,,,1.0,5,1,2.0,11.0,,,,,,,1,9.0,,,,,,,,2,,1,1,5.0,6.0,2,2,6,Trinidad
2127,18,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,7,,,,,,,,,2,,1,2,3.0,6.0,1,3,6,Trinidad
